Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True_Label,Predict_W2,Predict_W3,Predict_W4,Predict_Ensemble
2017-01-03,2017,1,3,Tuesday,1,2017-01,58.1,58.91,57.75,58.32,3004100,58.32,0.0,58.32,58.32,+,−,−,−,−
2017-01-04,2017,1,4,Wednesday,1,2017-01,58.36,59.46,58.04,58.82,5540600,58.82,0.0085733882478804,58.57,58.57,+,−,−,−,−
2017-01-05,2017,1,5,Thursday,1,2017-01,58.77,59.42,57.08,57.61,5427200,57.61,-0.0205712188158873,58.25,58.25,−,−,−,−,−
2017-01-06,2017,1,6,Friday,1,2017-01,57.87,58.14,56.64,56.77,4776100,56.77,-0.0145808044382654,57.88,57.88,−,−,−,−,−
2017-01-09,2017,1,9,Monday,2,2017-02,56.57,56.99,56.27,56.67,3329700,56.67,-0.0017615340498853,57.638,57.638,−,−,−,−,−
2017-01-10,2017,1,10,Tuesday,2,2017-02,55.72,58.84,55.3,58.74,5457800,58.74,0.0365273262114878,57.821666666666665,57.821666666666665,+,−,−,−,−
2017-01-11,2017,1,11,Wednesday,2,2017-02,58.54,58.94,57.28,57.46,4718200,57.46,-0.0217909866771993,57.77,57.77,−,−,−,−,−
2017-01-12,2017,1,12,Thursday,2,2017-02,57.4,57.5,56.57,57.15,2286300,57.15,-0.0053950150284203,57.6925,57.6925,−,−,−,−,−
2017-01-13,2017,1,13,Friday,2,2017-02,57.25,57.85,56.69,57.19,1973700,57.19,0.0006998617631177,57.63666666666667,57.63666666666667,+,−,−,−,−
2017-01-17,2017,1,17,Tuesday,3,2017-03,57.25,58.14,56.89,57.05,4114900,57.05,-0.0024479698025915,57.578,57.578,−,−,−,−,−
2017-01-18,2017,1,18,Wednesday,3,2017-03,57.54,58.85,57.39,58.66,5317500,58.66,0.0282208699716455,57.67636363636364,57.67636363636364,+,−,−,−,−
2017-01-19,2017,1,19,Thursday,3,2017-03,58.52,60.64,58.44,60.07,6036400,60.07,0.0240368198274776,57.87583333333333,57.87583333333333,+,−,−,−,−
2017-01-20,2017,1,20,Friday,3,2017-03,60.54,60.73,59.51,59.62,3911100,59.62,-0.0074912729353355,58.01,58.01,−,−,−,−,−
2017-01-23,2017,1,23,Monday,4,2017-04,60.77,60.86,60.11,60.24,3560500,60.24,0.0103992411554783,58.169285714285714,58.169285714285714,+,−,−,−,−
2017-01-24,2017,1,24,Tuesday,4,2017-04,60.01,60.57,59.62,60.22,3903000,60.22,-0.0003320129018327,58.305,58.306,−,−,−,−,−
2017-01-25,2017,1,25,Wednesday,4,2017-04,60.2,60.99,59.84,60.74,4003100,60.74,0.0086350124082179,58.44214285714286,58.458125,+,−,−,−,−
2017-01-26,2017,1,26,Thursday,4,2017-04,61.11,63.64,61.1,63.37,12440100,63.37,0.0432992621129666,58.853571428571435,58.747058823529414,+,+,−,−,−
2017-01-27,2017,1,27,Friday,4,2017-04,63.68,63.68,61.68,62.42,6294900,62.42,-0.0149913331063898,59.25714285714286,58.9511111111111,−,+,−,−,−
2017-01-30,2017,1,30,Monday,5,2017-05,61.91,62.08,60.59,61.13,5359500,61.13,-0.020666407219984,59.57571428571429,59.06578947368421,−,+,−,−,−
2017-01-31,2017,1,31,Tuesday,5,2017-05,61.25,62.62,61.19,62.27,4502200,62.27,0.0186487709754523,59.827857142857134,59.226,+,+,−,−,−
2017-02-01,2017,2,1,Wednesday,5,2017-05,62.26,63.65,62.24,63.26,8937500,63.26,0.0158984720811272,60.24214285714286,59.41809523809523,+,+,−,−,−
2017-02-02,2017,2,2,Thursday,5,2017-05,62.89,62.96,60.42,61.15,6004400,61.15,-0.0333543606013039,60.527857142857144,59.496818181818185,−,+,−,−,−
2017-02-03,2017,2,3,Friday,5,2017-05,61.25,61.71,60.81,61.36,5141000,61.36,0.0034341631926826,60.82571428571429,59.57782608695652,+,+,−,−,−
2017-02-06,2017,2,6,Monday,6,2017-06,61.13,61.38,60.89,60.96,3761900,60.96,-0.0065189296267937,61.105,59.635416666666664,−,+,−,−,−
2017-02-07,2017,2,7,Tuesday,6,2017-06,61.03,62.05,60.61,61.89,3369800,61.89,0.0152559107470962,61.33571428571428,59.72560000000001,+,+,−,−,−
2017-02-08,2017,2,8,Wednesday,6,2017-06,61.5,62.62,61.33,61.89,5555100,61.89,0.0,61.46571428571429,59.808846153846154,+,+,−,−,−
2017-02-09,2017,2,9,Thursday,6,2017-06,61.71,62.42,61.71,62.25,3171500,62.25,0.0058167816109524,61.653571428571425,59.89925925925926,+,+,−,−,−
2017-02-10,2017,2,10,Friday,6,2017-06,62.16,62.54,61.4,62.39,3829700,62.39,0.0022489861790913,61.80714285714286,59.988214285714285,+,+,−,−,−
2017-02-13,2017,2,13,Monday,7,2017-07,60.59,61.0,60.03,60.9,11670100,60.9,-0.0238819983706675,61.855714285714285,60.01965517241379,−,+,−,−,−
2017-02-14,2017,2,14,Tuesday,7,2017-07,61.24,62.84,59.51,61.6,17976400,61.6,0.0114942024746047,61.91714285714285,60.07233333333333,+,+,−,−,−
2017-02-15,2017,2,15,Wednesday,7,2017-07,61.47,61.8,60.73,61.3,9362400,61.3,-0.0048701176053856,61.769285714285715,60.111935483870965,−,+,−,−,−
2017-02-16,2017,2,16,Thursday,7,2017-07,61.19,61.4,60.32,60.61,3852100,60.61,-0.0112560951924421,61.64,60.1275,−,+,−,−,−
