Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-03,2017,1,3,Tuesday,01,2017-01,225.04,225.83,223.88,225.24,91366500,200.63,0.0,200.63,200.63
2017-01-04,2017,1,4,Wednesday,01,2017-01,225.62,226.75,225.61,226.58,78744400,201.82,0.005949591834484069,201.225,201.225
2017-01-05,2017,1,5,Thursday,01,2017-01,226.27,226.58,225.48,226.4,78379000,201.66,-0.00079475648221361,201.37,201.37
2017-01-06,2017,1,6,Friday,01,2017-01,226.53,227.75,225.9,227.21,71559900,202.38,0.0035778868343283587,201.6225,201.6225
2017-01-09,2017,1,9,Monday,02,2017-02,226.91,227.07,226.42,226.46,46939700,201.72,-0.0033006452988498802,201.642,201.642
2017-01-10,2017,1,10,Tuesday,02,2017-02,226.48,227.45,226.01,226.46,63771900,201.72,0.0,201.655,201.655
2017-01-11,2017,1,11,Wednesday,02,2017-02,226.36,227.1,225.59,227.1,74650000,202.29,0.0028260120188909887,201.74571428571429,201.74571428571429
2017-01-12,2017,1,12,Thursday,02,2017-02,226.5,226.75,224.96,226.53,72113200,201.78,-0.002509985631793721,201.75,201.75
2017-01-13,2017,1,13,Friday,02,2017-02,226.73,227.4,226.69,227.05,62717900,202.24,0.002295411453296925,201.80444444444444,201.80444444444444
2017-01-17,2017,1,17,Tuesday,03,2017-03,226.31,226.78,225.8,226.25,61240800,201.53,-0.003523581749292126,201.777,201.777
2017-01-18,2017,1,18,Wednesday,03,2017-03,226.54,226.8,225.9,226.75,54793300,201.97,0.002210044728627958,201.79454545454544,201.79454545454544
2017-01-19,2017,1,19,Thursday,03,2017-03,226.84,227.0,225.41,225.91,66608800,201.23,-0.00370434614169457,201.74749999999997,201.74749999999997
2017-01-20,2017,1,20,Friday,03,2017-03,226.7,227.31,225.97,226.74,129168600,201.97,0.0036737594256293082,201.76461538461538,201.76461538461538
2017-01-23,2017,1,23,Monday,04,2017-04,226.74,226.81,225.27,226.15,75061600,201.44,-0.0026020644107080937,201.74142857142857,201.74142857142857
2017-01-24,2017,1,24,Tuesday,04,2017-04,226.4,228.08,226.27,227.6,95555300,202.73,0.0064115771526880305,201.89142857142858,201.80733333333333
2017-01-25,2017,1,25,Wednesday,04,2017-04,228.7,229.57,228.51,229.57,84437700,204.49,0.008655803139355323,202.08214285714286,201.975
2017-01-26,2017,1,26,Thursday,04,2017-04,229.4,229.71,229.01,229.33,59970700,204.27,-0.0010455753552247593,202.26857142857142,202.10999999999999
2017-01-27,2017,1,27,Friday,04,2017-04,229.42,229.59,228.76,228.97,59711100,203.95,-0.0015696311004628205,202.3807142857143,202.21222222222224
2017-01-30,2017,1,30,Monday,05,2017-05,228.17,228.2,226.41,227.55,79737300,202.69,-0.00620183329469115,202.45,202.23736842105262
2017-01-31,2017,1,31,Tuesday,05,2017-05,226.98,227.6,226.32,227.53,75880800,202.67,-8.777929965364528e-05,202.51785714285714,202.259
2017-02-01,2017,2,1,Wednesday,05,2017-05,227.53,228.59,226.94,227.62,79117700,202.75,0.00039549325907217714,202.5507142857143,202.28238095238098
2017-02-02,2017,2,2,Thursday,05,2017-05,227.62,228.1,226.82,227.77,69657600,202.88,0.0006589701025805361,202.62928571428571,202.30954545454543
2017-02-03,2017,2,3,Friday,05,2017-05,228.82,229.55,228.46,229.34,80563200,204.28,0.0068925931003973595,202.77500000000003,202.39521739130436
2017-02-06,2017,2,6,Monday,06,2017-06,228.87,229.33,228.54,228.93,57790100,203.92,-0.0017873733119148083,202.94571428571427,202.45875
2017-02-07,2017,2,7,Tuesday,06,2017-06,229.38,229.66,228.72,228.94,57931200,203.93,4.369990645680666e-05,203.08571428571432,202.5176
2017-02-08,2017,2,8,Wednesday,06,2017-06,228.94,229.39,228.31,229.24,51566200,204.19,0.0013101916523805546,203.2971428571429,202.5819230769231
2017-02-09,2017,2,9,Thursday,06,2017-06,229.24,230.95,229.24,230.6,65955200,205.4,0.005932535926893356,203.54214285714284,202.6862962962963
2017-02-10,2017,2,10,Friday,06,2017-06,231.0,231.77,230.62,231.51,66015900,206.21,0.0039464820631740505,203.88285714285712,202.81214285714285
2017-02-13,2017,2,13,Monday,07,2017-07,232.08,233.07,232.05,232.77,55182100,207.34,0.005442532347339046,204.21214285714285,202.96827586206896
2017-02-14,2017,2,14,Tuesday,07,2017-07,232.56,233.71,232.16,233.7,71109000,208.17,0.0039952063705464,204.475,203.14166666666668
2017-02-15,2017,2,15,Wednesday,07,2017-07,233.45,235.14,233.39,234.92,86785800,209.25,0.005220519294334203,204.8307142857143,203.33870967741936
2017-02-16,2017,2,16,Thursday,07,2017-07,234.95,235.16,233.85,234.72,84722400,209.07,-0.0008514212339467697,205.19642857142858,203.5178125
2017-02-17,2017,2,17,Friday,07,2017-07,233.95,235.09,233.93,235.09,77204100,209.4,0.0015765007172381384,205.6757142857143,203.69606060606063
2017-02-21,2017,2,21,Tuesday,08,2017-08,235.52,236.69,235.51,236.49,88946100,210.65,0.0059550553774097015,206.24571428571429,203.90058823529412
2017-02-22,2017,2,22,Wednesday,08,2017-08,236.02,236.54,235.83,236.28,62115200,210.46,-0.0008880718048791536,206.79642857142858,204.088
2017-02-23,2017,2,23,Thursday,08,2017-08,236.88,236.9,235.56,236.44,74615900,210.61,0.0006770860143565649,207.34857142857143,204.26916666666665
2017-02-24,2017,2,24,Friday,08,2017-08,235.46,236.79,235.41,236.74,82381600,210.87,0.0012689217982926326,207.8192857142857,204.44756756756757
2017-02-27,2017,2,27,Monday,09,2017-09,236.64,237.31,236.35,237.11,56515400,211.2,0.0015627597046929953,208.33928571428572,204.62526315789475
2017-02-28,2017,2,28,Tuesday,09,2017-09,236.67,236.95,236.02,236.47,96961900,210.63,-0.002698863841611221,208.81785714285712,204.77923076923076
